step,train_loss,val_loss,val_ppl,lr_adamw,lr_muon,norm,dt_ms,tokens_per_sec,hella_acc
0,10.987344741821289,10.985372543334961,59004.709594337626,8.426966292134831e-07,2.808988764044944e-05,9.245475769042969,47485.58211326599,11040.993427213989,0.24736108344951205
1,10.981563568115234,,,1.6853932584269661e-06,5.617977528089888e-05,8.68564224243164,1646.2485790252686,318474.38271468517,
2,10.977343559265137,,,2.5280898876404495e-06,8.426966292134832e-05,9.144037246704102,1629.7552585601807,321697.38201255206,
3,10.976242065429688,,,3.3707865168539322e-06,0.00011235955056179776,8.800920486450195,1629.2636394500732,321794.4519875024,
4,10.966127395629883,,,4.213483146067415e-06,0.0001404494382022472,8.89219856262207,1945.493221282959,269488.4743182283,
5,10.961165428161621,,,5.056179775280899e-06,0.00016853932584269665,8.680741310119629,1629.9374103546143,321661.43108889944,
6,10.9458646774292,,,5.898876404494382e-06,0.00019662921348314607,9.147709846496582,1630.1238536834717,321624.6414745142,
7,10.931840896606445,,,6.7415730337078645e-06,0.00022471910112359551,8.54644775390625,1631.8295001983643,321288.46790443966,
8,10.916088104248047,,,7.584269662921347e-06,0.00025280898876404496,8.879098892211914,1632.2696208953857,321201.83656447666,
9,10.905084609985352,,,8.42696629213483e-06,0.0002808988764044944,8.564949035644531,1631.5748691558838,321338.6096534124,
10,10.878683090209961,,,9.269662921348313e-06,0.0003089887640449438,9.10561466217041,1632.2135925292969,321212.8623359626,
11,10.863239288330078,,,1.0112359550561798e-05,0.0003370786516853933,8.92630672454834,1635.6515884399414,320537.701125004,
12,10.843073844909668,,,1.095505617977528e-05,0.0003651685393258427,8.716622352600098,1635.678768157959,320532.37481980264,
13,10.820577621459961,,,1.1797752808988763e-05,0.00039325842696629214,8.377411842346191,1636.4576816558838,320379.80931440176,
14,10.787144660949707,,,1.2640449438202247e-05,0.00042134831460674164,9.328070640563965,1636.2802982330322,320414.54056872905,
15,10.76080322265625,,,1.3483146067415729e-05,0.00044943820224719103,9.187453269958496,1636.3980770111084,320391.47892279085,
16,10.734024047851562,,,1.4325842696629212e-05,0.0004775280898876404,8.562729835510254,1637.153148651123,320243.7111225479,
17,10.70463752746582,,,1.5168539325842694e-05,0.0005056179775280899,9.087453842163086,1637.4242305755615,320190.693535609,
18,10.691411018371582,,,1.6011235955056176e-05,0.0005337078651685393,8.276577949523926,1637.8519535064697,320107.0761478498,
19,10.665574073791504,,,1.685393258426966e-05,0.0005617977528089888,9.162348747253418,1639.115333557129,319860.3473876457,
20,10.594953536987305,,,1.7696629213483143e-05,0.0005898876404494382,9.236196517944336,1641.1316394805908,319467.3647056944,
21,10.5479736328125,,,1.8539325842696625e-05,0.0006179775280898876,9.024357795715332,1637.8092765808105,320115.41728139145,
22,10.506852149963379,,,1.938202247191011e-05,0.0006460674157303372,8.843204498291016,1638.4954452514648,319981.3594352323,
23,10.481647491455078,,,2.0224719101123596e-05,0.0006741573033707866,8.808382034301758,1639.009714126587,319880.95950937556,
24,10.410606384277344,,,2.1067415730337078e-05,0.000702247191011236,8.87143325805664,1639.7113800048828,319744.0759351434,
25,10.365792274475098,,,2.191011235955056e-05,0.0007303370786516854,8.908868789672852,1638.991355895996,319884.54247422476,
26,10.322343826293945,,,2.2752808988764045e-05,0.0007584269662921349,8.445403099060059,1640.152931213379,319657.99653336825,
27,10.256378173828125,,,2.3595505617977527e-05,0.0007865168539325843,8.26487922668457,1638.9050483703613,319901.3881379667,
28,10.205192565917969,,,2.443820224719101e-05,0.0008146067415730337,8.006739616394043,1638.6971473693848,319941.9739282785,
29,10.141687393188477,,,2.5280898876404494e-05,0.0008426966292134833,7.647580146789551,1638.4320259094238,319993.7450618313,
30,10.131961822509766,,,2.6123595505617976e-05,0.0008707865168539326,7.15629243850708,1638.26584815979,320026.20367684244,
31,10.053403854370117,,,2.6966292134831458e-05,0.0008988764044943821,6.799493312835693,1638.489007949829,319982.6165791732,
32,10.008624076843262,,,2.780898876404494e-05,0.0009269662921348314,6.448667526245117,1642.1270370483398,319273.71523118427,
33,9.937128067016602,,,2.8651685393258425e-05,0.0009550561797752808,6.11278772354126,1642.059564590454,319286.8342329364,
34,9.847529411315918,,,2.9494382022471907e-05,0.0009831460674157304,5.969253063201904,1641.6330337524414,319369.7916772444,
35,9.836468696594238,,,3.033707865168539e-05,0.0010112359550561798,5.411513805389404,1645.5130577087402,318616.7363083911,
36,9.794830322265625,,,3.1179775280898874e-05,0.0010393258426966293,5.101076126098633,1644.744634628296,318765.5937351554,
37,9.7235746383667,,,3.202247191011235e-05,0.0010674157303370785,4.800569534301758,1644.282341003418,318855.21538840764,
38,9.677627563476562,,,3.286516853932584e-05,0.001095505617977528,4.7656941413879395,1642.9417133331299,319115.3987662453,
39,9.642688751220703,,,3.370786516853932e-05,0.0011235955056179776,4.289705276489258,1642.425298690796,319215.7356671981,
40,9.603398323059082,,,3.45505617977528e-05,0.0011516853932584269,3.9922707080841064,1643.2344913482666,319058.5414074555,
41,9.510112762451172,,,3.539325842696629e-05,0.0011797752808988763,3.8710737228393555,1646.5911865234375,318408.1175042396,
42,9.478803634643555,,,3.623595505617977e-05,0.001207865168539326,3.6441762447357178,1645.5001831054688,318619.2292063669,
43,9.455138206481934,,,3.707865168539325e-05,0.0012359550561797752,3.838139295578003,1646.430253982544,318439.24073418946,
44,9.408853530883789,,,3.7921348314606736e-05,0.0012640449438202249,3.280661106109619,1648.221731185913,318093.12429266976,
45,9.38003158569336,,,3.876404494382022e-05,0.0012921348314606743,3.0918843746185303,1648.2758522033691,318082.67972812103,
